teamId,frame,x,y,ball_posession
Green,0,278,222,0
Green,0,348,405,0
Blue,0,308,395,0
Blue,0,357,443,0
Blue,0,274,486,0
Blue,0,292,415,0
Blue,0,373,353,0
Red,0,244,385,0
Red,0,272,421,0
Red,0,310,364,0
Red,0,364,350,0
Blue,0,321,364,0
Red,0,223,440,0
Red,0,260,355,0
Red,0,247,377,0
Blue,0,258,375,0
Red,0,233,397,0
Blue,0,240,396,0
Blue,0,306,275,0
Blue,0,233,433,0
Green,0,348,405,0
Red,0,225,466,0
Green,0,169,438,0
Green,1,279,222,0
Green,1,348,406,0
Blue,1,309,395,0
Blue,1,357,444,0
Blue,1,274,486,0
Blue,1,292,415,0
Red,1,244,385,0
Blue,1,374,353,0
Red,1,272,421,0
Red,1,310,364,0
Red,1,364,350,0
Blue,1,321,364,0
Red,1,223,440,0
Red,1,260,355,0
Red,1,247,377,0
Blue,1,259,375,0
Red,1,233,397,0
Blue,1,240,396,0
Blue,1,307,275,0
Blue,1,233,433,0
Green,1,348,406,0
Red,1,225,466,0
Green,1,170,441,0
Green,2,282,225,0
Blue,2,310,397,0
Blue,2,274,487,0
Blue,2,359,446,0
Red,2,245,387,0
Blue,2,293,417,0
Blue,2,377,356,0
Red,2,367,353,0
Red,2,312,368,0
Red,2,262,356,0
Blue,2,322,366,0
Red,2,223,441,0
Blue,2,259,376,0
Red,2,225,467,0
Blue,2,310,279,0
Red,2,233,399,0
Blue,2,241,399,0
Green,2,350,409,0
Red,2,249,381,0
Green,2,170,439,0
Red,2,273,423,0
Blue,2,234,433,0
Green,3,281,223,0
Green,3,349,409,0
Blue,3,309,397,0
Blue,3,274,488,0
Blue,3,376,356,0
Blue,3,293,418,0
Red,3,273,422,0
Red,3,262,358,0
Blue,3,359,446,0
Red,3,367,353,0
Red,3,225,468,0
Blue,3,322,367,0
Blue,3,241,399,0
Red,3,223,441,0
Red,3,245,386,0
Red,3,312,371,0
Blue,3,309,279,0
Blue,3,235,434,0
Blue,3,258,371,0
Red,3,233,399,0
Red,3,249,382,0
Green,3,172,440,0
Green,3,349,409,0
Green,4,281,221,0
Green,4,349,408,0
Green,4,173,440,0
Blue,4,309,394,0
Blue,4,274,488,0
Red,4,262,356,0
Red,4,273,420,0
Blue,4,293,417,0
Blue,4,359,445,0
Blue,4,375,355,0
Red,4,224,442,0
Blue,4,322,366,0
Red,4,226,469,0
Red,4,245,385,0
Blue,4,240,399,0
Blue,4,309,279,0
Blue,4,235,434,0
Blue,4,256,365,0
Red,4,250,383,0
Red,4,366,352,0
Red,4,233,400,0
Red,4,311,369,0
Green,4,172,440,0
Green,4,349,408,0
Blue,4,225,408,0
Green,5,282,223,0
Green,5,350,411,0
Blue,5,309,397,0
Blue,5,274,489,0
Red,5,274,421,0
Red,5,263,358,0
Blue,5,294,418,0
Red,5,246,386,0
Blue,5,377,357,0
Blue,5,360,447,0
Red,5,226,471,0
Blue,5,323,369,0
Red,5,224,443,0
Red,5,312,371,0
Blue,5,240,400,0
Blue,5,256,364,0
Blue,5,311,281,0
Red,5,368,355,0
Red,5,234,402,0
Red,5,251,384,0
Blue,5,237,438,0
Blue,5,225,410,0
Green,5,173,442,0
Green,5,350,411,0
Green,6,349,412,0
Green,6,282,224,0
Blue,6,309,395,0
Blue,6,274,489,0
Blue,6,294,419,0
Red,6,263,358,0
Red,6,274,420,0
Blue,6,375,358,0
Red,6,226,471,0
Blue,6,322,369,0
Red,6,224,444,0
Red,6,248,388,0
Blue,6,240,400,0
Red,6,367,356,0
Blue,6,359,447,0
Red,6,311,371,0
Blue,6,311,282,0
Blue,6,257,367,0
Red,6,234,402,0
Red,6,248,376,0
Green,6,174,442,0
Blue,6,237,439,0
Blue,6,227,413,0
Green,7,351,412,0
Green,7,284,223,0
Blue,7,274,490,0
Red,7,275,419,0
Blue,7,295,419,0
Blue,7,309,398,0
Blue,7,378,359,0
Blue,7,323,370,0
Red,7,226,472,0
Red,7,370,356,0
Red,7,312,372,0
Red,7,224,445,0
Red,7,263,359,0
Blue,7,361,448,0
Blue,7,239,401,0
Blue,7,313,283,0
Blue,7,259,372,0
Red,7,249,389,0
Red,7,234,405,0
Blue,7,237,441,0
Red,7,248,373,0
Green,7,174,442,0
Blue,7,228,417,0
Green,8,351,414,0
Green,8,285,222,0
Blue,8,275,491,0
Red,8,312,373,0
Red,8,276,419,0
Blue,8,296,421,0
Blue,8,324,371,0
Blue,8,378,361,0
Red,8,370,358,0
Red,8,226,472,0
Blue,8,361,449,0
Blue,8,261,376,0
Red,8,225,445,0
Red,8,264,360,0
Blue,8,314,285,0
Blue,8,240,403,0
Red,8,235,406,0
Blue,8,308,401,0
Red,8,250,389,0
Blue,8,237,441,0
Red,8,251,379,0
Green,8,174,442,0
Red,8,234,429,0
Green,8,351,414,0
Green,9,286,225,0
Green,9,351,414,0
Blue,9,296,422,0
Blue,9,275,491,0
Blue,9,307,400,0
Red,9,312,375,0
Blue,9,324,373,0
Red,9,278,419,0
Blue,9,379,361,0
Blue,9,263,378,0
Blue,9,362,450,0
Red,9,371,358,0
Red,9,226,474,0
Blue,9,236,441,0
Red,9,265,361,0
Blue,9,315,286,0
Red,9,225,444,0
Red,9,235,407,0
Blue,9,240,402,0
Green,9,351,413,0
Red,9,252,381,0
Red,9,251,390,0
Green,9,174,443,0
Red,9,232,425,0
Green,10,288,225,0
Green,10,352,415,0
Red,10,313,378,0
Blue,10,274,491,0
Blue,10,325,373,0
Blue,10,306,401,0
Blue,10,297,422,0
Blue,10,237,443,0
Blue,10,362,451,0
Blue,10,380,362,0
Red,10,372,358,0
Red,10,280,420,0
Blue,10,263,379,0
Red,10,265,360,0
Red,10,226,473,0
Blue,10,316,288,0
Red,10,235,407,0
Blue,10,240,403,0
Red,10,252,379,0
Red,10,225,444,0
Red,10,233,427,0
Red,10,252,390,0
Green,10,175,442,0
Green,10,352,414,0
Green,11,286,224,0
Green,11,351,413,0
Red,11,312,379,0
Blue,11,274,491,0
Red,11,281,418,0
Blue,11,324,370,0
Red,11,370,356,0
Blue,11,361,449,0
Blue,11,378,359,0
Blue,11,237,443,0
Blue,11,263,377,0
Blue,11,297,420,0
Blue,11,240,402,0
Red,11,235,407,0
Red,11,264,357,0
Red,11,226,474,0
Red,11,253,390,0
Red,11,225,444,0
Blue,11,306,400,0
Red,11,253,380,0
Red,11,234,429,0
Blue,11,315,287,0
Green,11,174,442,0
Green,11,351,413,0
Green,12,288,224,0
Green,12,352,417,0
Red,12,312,381,0
Blue,12,235,444,0
Blue,12,325,373,0
Blue,12,274,491,0
Red,12,281,418,0
Red,12,373,358,0
Blue,12,363,451,0
Blue,12,380,361,0
Blue,12,264,380,0
Blue,12,239,402,0
Red,12,235,407,0
Red,12,254,393,0
Red,12,266,361,0
Red,12,225,444,0
Red,12,235,432,0
Blue,12,318,290,0
Blue,12,297,423,0
Red,12,225,473,0
Blue,12,307,400,0
Red,12,256,386,0
Blue,12,301,387,0
Green,12,173,440,0
Green,13,290,226,0
Blue,13,235,445,0
Blue,13,274,492,0
Red,13,283,419,0
Red,13,313,382,0
Blue,13,326,375,0
Red,13,374,360,0
Blue,13,363,453,0
Red,13,235,432,0
Blue,13,381,364,0
Blue,13,265,382,0
Red,13,226,445,0
Blue,13,240,403,0
Red,13,236,408,0
Red,13,268,363,0
Blue,13,319,291,0
Red,13,257,386,0
Red,13,256,397,0
Red,13,225,474,0
Blue,13,298,423,0
Blue,13,303,395,0
Green,13,353,419,0
Green,13,173,441,0
Blue,13,308,402,0
Green,14,290,225,0
Green,14,353,420,0
Green,14,174,442,0
Red,14,283,418,0
Blue,14,274,492,0
Red,14,374,360,0
Blue,14,326,374,0
Blue,14,363,453,0
Blue,14,233,444,0
Blue,14,306,400,0
Blue,14,381,365,0
Blue,14,266,383,0
Red,14,268,362,0
Red,14,312,382,0
Red,14,226,445,0
Red,14,236,433,0
Red,14,236,409,0
Blue,14,320,291,0
Red,14,258,387,0
Blue,14,299,425,0
Blue,14,240,403,0
Red,14,225,474,0
Red,14,256,397,0
Green,14,174,441,0
Green,14,353,420,0
Green,15,289,224,0
Green,15,352,421,0
Red,15,284,418,0
Blue,15,274,493,0
Blue,15,326,375,0
Red,15,373,359,0
Blue,15,306,403,0
Blue,15,363,454,0
Blue,15,380,364,0
Blue,15,298,425,0
Red,15,311,382,0
Red,15,226,445,0
Red,15,237,434,0
Blue,15,240,404,0
Red,15,236,410,0
Red,15,225,475,0
Blue,15,267,383,0
Red,15,268,361,0
Blue,15,319,292,0
Blue,15,233,446,0
Red,15,258,387,0
Red,15,257,398,0
Green,15,176,443,0
